task,model,B,score_key,direction,N,pos_rate,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,auroc_ci95_width,auroc_ci95_halfwidth,spearman_boot_mean,spearman_ci95_lo,spearman_ci95_hi,spearman_ci95_width,spearman_ci95_halfwidth,manifest_file,results_file,boot_file
medqa,biomistral,1000,egh_probe_oof,1.0,1000,0.553,0.5653131667415077,0.5293741479260976,0.6009492659522394,0.0715751180261418,0.0357875590130709,0.11248866842693699,0.05059100625556192,0.17386462130713462,0.1232736150515727,0.06163680752578635,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.bootstrap_indices.npz
medqa,biomistral,2000,egh_probe_oof,1.0,1000,0.553,0.5661486886658494,0.5296821081673686,0.6009492659522394,0.0712671577848708,0.0356335788924354,0.11392768515641422,0.051121395433029626,0.17386462130713462,0.122743225874105,0.0613716129370525,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.bootstrap_indices.npz
medqa,biomistral,5000,egh_probe_oof,1.0,1000,0.553,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.071771524853251,0.0358857624266255,0.11463838764109102,0.052182547296367954,0.17579440349773698,0.12361185620136902,0.06180592810068451,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10000,egh_probe_oof,1.0,1000,0.553,0.5666489783204081,0.5303017706955351,0.6017700887168221,0.07146831802128706,0.03573415901064353,0.11478933228984281,0.052188643390352694,0.1752783106535746,0.1230896672632219,0.06154483363161095,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.bootstrap_indices.npz
medqa,biomistral,1000,hidden_probe_oof,1.0,1000,0.553,0.5145962110271005,0.48100911845496,0.5502799454672702,0.06927082701231019,0.034635413506155094,0.025139010003155996,-0.03270794594790036,0.08659698670578023,0.11930493265368058,0.05965246632684029,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.bootstrap_indices.npz
medqa,biomistral,2000,hidden_probe_oof,1.0,1000,0.553,0.514256026716183,0.48071026048683,0.5502799454672702,0.0695696849804402,0.0347848424902201,0.024553111550232827,-0.033222658490436895,0.08659698670578019,0.11981964519621707,0.059909822598108536,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.bootstrap_indices.npz
medqa,biomistral,5000,hidden_probe_oof,1.0,1000,0.553,0.514711322823242,0.47903331836515084,0.5505557443434428,0.07152242597829195,0.035761212989145974,0.025337266625731818,-0.036110850523753256,0.08707200833195675,0.12318285885571001,0.061591429427855005,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_5000\medqa_biomistral_B5000.manifest.bootstrap_indices.npz
medqa,biomistral,10000,hidden_probe_oof,1.0,1000,0.553,0.5150555044479774,0.4795182672508303,0.5512580352844563,0.07173976803362597,0.035869884016812986,0.0259300495495147,-0.0352756278661774,0.08828156345614664,0.12355719132232404,0.06177859566116202,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_10000\medqa_biomistral_B10000.manifest.bootstrap_indices.npz
medqa,biomistral,1000,lntp,1.0,1000,0.553,0.4998377711971714,0.4637210193736827,0.5363579175617236,0.07263689818804087,0.03631844909402043,-0.000279446111850186,-0.06249452810448419,0.06263030354330255,0.12512483164778676,0.06256241582389338,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_1000\medqa_biomistral_B1000.manifest.bootstrap_indices.npz
medqa,biomistral,2000,lntp,1.0,1000,0.553,0.5001383879267449,0.4639416989291681,0.5361415363018881,0.07219983737272001,0.036099918686360005,0.00023840388038463416,-0.06211645611375455,0.062258330290921836,0.12437478640467639,0.062187393202338195,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\bootstrap_budget\medqa_biomistral\B_2000\medqa_biomistral_B2000.manifest.bootstrap_indices.npz
