task,model,score,score_pretty,B,auroc_ci_halfwidth,spearman_ci_halfwidth
medqa,biomistral,egh_probe_oof,EGH,1000,0.0357875590130709,0.06163680752578635
medqa,biomistral,egh_probe_oof,EGH,2000,0.0356335788924354,0.0613716129370525
medqa,biomistral,egh_probe_oof,EGH,5000,0.0358857624266255,0.06180592810068451
medqa,biomistral,egh_probe_oof,EGH,10000,0.03573415901064353,0.06154483363161095
medqa,biomistral,hidden_probe_oof,Hidden,1000,0.034635413506155094,0.05965246632684029
medqa,biomistral,hidden_probe_oof,Hidden,2000,0.0347848424902201,0.059909822598108536
medqa,biomistral,hidden_probe_oof,Hidden,5000,0.035761212989145974,0.061591429427855005
medqa,biomistral,hidden_probe_oof,Hidden,10000,0.035869884016812986,0.06177859566116202
medqa,biomistral,lntp,LNTP,1000,0.03631844909402043,0.06256241582389338
medqa,biomistral,lntp,LNTP,2000,0.036099918686360005,0.062187393202338195
medqa,biomistral,lntp,LNTP,5000,0.035998049079456584,0.062011211837075836
medqa,biomistral,lntp,LNTP,10000,0.03602232180783288,0.06205335434089877
medqa,biomistral,mtp,MTP,1000,0.03631844909402043,0.06256241582389338
medqa,biomistral,mtp,MTP,2000,0.036099918686360005,0.062187393202338195
medqa,biomistral,mtp,MTP,5000,0.035998049079456584,0.062011211837075836
medqa,biomistral,mtp,MTP,10000,0.03602232180783288,0.06205335434089877
medqa,mistral,egh_probe_oof,EGH,1000,0.03535891574265182,0.061243089081335945
medqa,mistral,egh_probe_oof,EGH,2000,0.03530261484183744,0.06114559649295776
medqa,mistral,egh_probe_oof,EGH,5000,0.03594872517960285,0.06226469490051424
medqa,mistral,egh_probe_oof,EGH,10000,0.03570817133074128,0.06184801794064849
medqa,mistral,hidden_probe_oof,Hidden,1000,0.03629518072289156,0.06286475684426245
medqa,mistral,hidden_probe_oof,Hidden,2000,0.0352350137602202,0.06102847241383545
medqa,mistral,hidden_probe_oof,Hidden,5000,0.035272314357029655,0.06109310025040851
medqa,mistral,hidden_probe_oof,Hidden,10000,0.035703571257140077,0.06184004685345435
medqa,mistral,lntp,LNTP,1000,0.034505902094433466,0.05976943079316076
medqa,mistral,lntp,LNTP,2000,0.03497245955935288,0.06057754352978176
medqa,mistral,lntp,LNTP,5000,0.03573219671514741,0.06189389387081684
medqa,mistral,lntp,LNTP,10000,0.03560999475991619,0.0616820415178662
medqa,mistral,mtp,MTP,1000,0.03382334117345881,0.058587789985601935
medqa,mistral,mtp,MTP,2000,0.034807656922510755,0.06029195138920539
medqa,mistral,mtp,MTP,5000,0.03597122553960866,0.06230766347492553
medqa,mistral,mtp,MTP,10000,0.035654270468327504,0.061758967027695
pubmedqa,biomistral,egh_probe_oof,EGH,1000,0.03553815856777498,0.060857636411602994
pubmedqa,biomistral,egh_probe_oof,EGH,2000,0.03494501278772377,0.059841905362759185
pubmedqa,biomistral,egh_probe_oof,EGH,5000,0.03484378516624037,0.059668548216193634
pubmedqa,biomistral,egh_probe_oof,EGH,10000,0.03464613810741679,0.05933005751583485
pubmedqa,biomistral,hidden_probe_oof,Hidden,1000,0.0332312020460358,0.05690704252001905
pubmedqa,biomistral,hidden_probe_oof,Hidden,2000,0.03373447570332483,0.05776893915450733
pubmedqa,biomistral,hidden_probe_oof,Hidden,5000,0.03436961636828634,0.058856519475492974
pubmedqa,biomistral,hidden_probe_oof,Hidden,10000,0.03430823529411764,0.05875141365902903
pubmedqa,biomistral,lntp,LNTP,1000,0.03520708439897696,0.06029901924802095
pubmedqa,biomistral,lntp,LNTP,2000,0.03538427109974429,0.060604541351103325
pubmedqa,biomistral,lntp,LNTP,5000,0.03534843989769815,0.060543585364923304
pubmedqa,biomistral,lntp,LNTP,10000,0.03538539641943744,0.0606062023558322
pubmedqa,biomistral,mtp,MTP,1000,0.03520708439897696,0.06029901924802095
pubmedqa,biomistral,mtp,MTP,2000,0.03538427109974429,0.060604541351103325
pubmedqa,biomistral,mtp,MTP,5000,0.03534843989769815,0.060543585364923304
pubmedqa,biomistral,mtp,MTP,10000,0.03538539641943744,0.0606062023558322
pubmedqa,mistral,egh_probe_oof,EGH,1000,0.03160776685039085,0.05472787283899208
pubmedqa,mistral,egh_probe_oof,EGH,2000,0.03240005243544636,0.05609972245879177
pubmedqa,mistral,egh_probe_oof,EGH,5000,0.03144125428789851,0.05443959473321658
pubmedqa,mistral,egh_probe_oof,EGH,10000,0.031537969667495225,0.05460702701573894
pubmedqa,mistral,hidden_probe_oof,Hidden,1000,0.033534969639476275,0.058064769907104824
pubmedqa,mistral,hidden_probe_oof,Hidden,2000,0.03335429750511343,0.057751916062770775
pubmedqa,mistral,hidden_probe_oof,Hidden,5000,0.03312374164935483,0.05735279906798704
pubmedqa,mistral,hidden_probe_oof,Hidden,10000,0.033003310237720684,0.05714417811197006
pubmedqa,mistral,lntp,LNTP,1000,0.0345016981479479,0.059743401151706454
pubmedqa,mistral,lntp,LNTP,2000,0.03343792904003101,0.05789998219922243
pubmedqa,mistral,lntp,LNTP,5000,0.031822537035035514,0.055102330775026104
pubmedqa,mistral,lntp,LNTP,10000,0.03157642066036637,0.05467671927012102
pubmedqa,mistral,mtp,MTP,1000,0.0345016981479479,0.059743401151706454
pubmedqa,mistral,mtp,MTP,2000,0.03343792904003101,0.05789998219922243
pubmedqa,mistral,mtp,MTP,5000,0.031822537035035514,0.055102330775026104
pubmedqa,mistral,mtp,MTP,10000,0.03157642066036637,0.05467671927012102
