task,model,score_key,direction,N,pos_rate,auroc_full,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,delta_auroc_boot_mean,delta_auroc_ci95_lo,delta_auroc_ci95_hi,delta_auroc_sig_pos,spearman_boot_mean,spearman_ci95_lo,spearman_ci95_hi,delta_spearman_boot_mean,delta_spearman_ci95_lo,delta_spearman_ci95_hi,delta_spearman_sig_pos,results_file,boot_file
medqa,biomistral,egh_probe_oof,1.0,1000,0.553,0.5668652984938772,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.06656133678006076,0.030298230922646902,0.10206975577589796,True,0.11463838764109102,0.052182547296367954,0.17579440349773698,0.11463838764109102,0.052182547296367954,0.17579440349773698,True,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,hidden_probe_oof,1.0,1000,0.553,0.5152169779644081,0.514711322823242,0.47903331836515084,0.5505557443434428,0.014711322823241942,-0.020966681634849146,0.05055574434344282,False,0.025337266625731818,-0.036110850523753256,0.08707200833195675,0.025337266625731818,-0.036110850523753256,0.08707200833195675,False,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,lntp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.0007611474527794276,-0.0352198300099922,0.036776268148921015,False,0.001311183002063725,-0.060670602761215636,0.06335182091293604,0.001311183002063725,-0.060670602761215636,0.06335182091293604,False,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,mtp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.0007611474527794276,-0.0352198300099922,0.036776268148921015,False,0.001311183002063725,-0.060670602761215636,0.06335182091293604,0.001311183002063725,-0.060670602761215636,0.06335182091293604,False,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_oof,1.0,1000,0.498,0.5981375702011232,0.5980336709387349,0.5622367957887326,0.6341342461479383,0.09803367093873501,0.0622367957887326,0.1341342461479383,True,0.16979836507468085,0.1077967118163903,0.2323261016174188,0.16979836507468085,0.1077967118163903,0.2323261016174188,True,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,hidden_probe_oof,1.0,1000,0.498,0.5748771980351686,0.574861364181827,0.5388777220435528,0.6094223507576121,0.0748613641818269,0.038877722043552734,0.10942235075761211,True,0.12966297240619415,0.06733781307907721,0.18952401357989423,0.12966297240619415,0.06733781307907721,0.18952401357989423,True,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,lntp,1.0,1000,0.498,0.5050500808012928,0.5048903198451175,0.46928480855693694,0.5407492019872318,0.004890319845117516,-0.030715191443063068,0.04074920198723172,False,0.00847078583861797,-0.053203763069960136,0.07058402467167355,0.00847078583861797,-0.053203763069960136,0.07058402467167355,False,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,mtp,1.0,1000,0.498,0.5083941343061489,0.5082567961087378,0.4724829597273556,0.5444254108065729,0.008256796108737734,-0.027517040272644382,0.04442541080657288,False,0.014302035236154422,-0.04766366645930855,0.0769516604905425,0.014302035236154422,-0.04766366645930855,0.0769516604905425,False,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_oof,1.0,1000,0.425,0.6289350383631713,0.62892470342711,0.5944097186700767,0.6640972890025575,0.12892470342710996,0.09440971867007676,0.16409728900255752,True,0.22077822390579796,0.16167270901820313,0.2810098054505904,0.22077822390579796,0.16167270901820313,0.2810098054505904,True,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,hidden_probe_oof,1.0,1000,0.425,0.6609145780051151,0.6612160736572891,0.6267293094629157,0.6954685421994884,0.16121607365728902,0.1267293094629157,0.19546854219948837,True,0.2760758602119755,0.2170187351260236,0.33473177407700955,0.2760758602119755,0.2170187351260236,0.33473177407700955,True,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
