task,model,category,direction,N,pos_rate,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,manifest_file,results_file,boot_file
medqa,biomistral,egh_probe_g_only,-1.0,1000,0.553,0.5023425780064809,0.47234613112936963,0.5326309412559519,0.004754247024347666,-0.05617899641679838,0.06618773763830602,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_probe_e_only,1.0,1000,0.553,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.11463838764109102,0.052182547296367954,0.17579440349773698,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_probe_ge,1.0,1000,0.553,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.11463838764109102,0.052182547296367954,0.17579440349773698,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_g_only,1.0,1000,0.498,0.5001030944495112,0.46400907414518633,0.5349416090657451,0.000182070490165203,-0.06362822681667397,0.061810721292303215,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_e_only,1.0,1000,0.498,0.5977413526616425,0.5620886934190946,0.6336808388934222,0.16929205671445435,0.10754019794231133,0.23154072454767383,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_ge,1.0,1000,0.498,0.5980336709387349,0.5622367957887326,0.6341342461479383,0.16979836507468085,0.1077967118163903,0.2323261016174188,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_g_only,1.0,1000,0.425,0.5000975549872122,0.46920460358056265,0.5312020460358056,0.0002025861169486276,-0.062059931068752495,0.06301368556155966,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_e_only,1.0,1000,0.425,0.62892470342711,0.5944097186700767,0.6640972890025575,0.22077822390579796,0.16167270901820313,0.2810098054505904,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,egh_probe_ge,1.0,1000,0.425,0.62892470342711,0.5944097186700767,0.6640972890025575,0.22077822390579796,0.16167270901820313,0.2810098054505904,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.bootstrap_indices.npz
pubmedqa,mistral,egh_probe_g_only,-1.0,1000,0.513,0.5024799356364903,0.4717175810848133,0.5327887652052786,0.0050600318774836235,-0.05757611710388215,0.067051073781215,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.bootstrap_indices.npz
