task,model,category,category_group,direction,N,pos_rate,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,manifest_file,results_file,boot_file
medqa,biomistral,egh_probe_scalar_only,core,1.0,1000,0.553,0.605798288368104,0.5693752503125113,0.6408755274261604,0.1822160708995662,0.11948478554252415,0.24262943881146803,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_probe_ge,core,1.0,1000,0.553,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.11463838764109102,0.052182547296367954,0.17579440349773698,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_grad_norm,scalar_metrics,1.0,1000,0.553,0.5,0.5,0.5,,,,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_emb_diff,scalar_metrics,-1.0,1000,0.553,0.5483416499791659,0.5131298267331739,0.5844682856576492,0.08351218648924583,0.02268413160776389,0.1458974146701751,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_kl,scalar_metrics,-1.0,1000,0.553,0.5344633239074238,0.49876016926182587,0.5721006225954828,0.05942230117644614,-0.0021376776306703794,0.12431535171279608,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_ce,scalar_metrics,1.0,1000,0.553,0.526322097487368,0.489561513161887,0.5620633942983361,0.04546904713135492,-0.018038360831464418,0.10720439348030578,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,egh_entropy,scalar_metrics,1.0,1000,0.553,0.5964465142339325,0.5607149431006793,0.6321529707796806,0.1661147800473399,0.10457274144848794,0.2276138832964276,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_scalar_only,core,1.0,1000,0.498,0.600759812557001,0.5642336277380438,0.6351902630442087,0.17452015810709987,0.11125530280639924,0.2341551422325233,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_probe_ge,core,1.0,1000,0.498,0.5980336709387349,0.5622367957887326,0.6341342461479383,0.16979836507468085,0.1077967118163903,0.2323261016174188,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_grad_norm,scalar_metrics,1.0,1000,0.498,0.502017670682731,0.5,0.5050200803212851,0.046689744828482066,0.03176540838213386,0.07117209930370103,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
medqa,mistral,egh_emb_diff,scalar_metrics,1.0,1000,0.498,0.535221137938207,0.49946199139186226,0.5705712291396662,0.061358596740407105,-0.0009370340078546658,0.12295777616820719,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.bootstrap_indices.npz
