task,model,layer,score_key,direction,auroc,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,N,pos_rate,results_file,manifest_file,boot_file
medqa,biomistral,4,hidden_probe_oof,-1.0,0.5423741155624597,0.5422529444842248,0.5060535173206144,0.5773681080621869,0.07277211756680003,0.01042595547632998,0.1332508457616686,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,16,hidden_probe_oof,1.0,0.5152169779644081,0.514711322823242,0.47903331836515084,0.5505557443434428,0.025337266625731818,-0.036110850523753256,0.08707200833195675,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,24,hidden_probe_oof,1.0,0.5172113871459721,0.5169543510888341,0.481174173007917,0.5527026671683031,0.029200427341633986,-0.03242366531721976,0.09076964695935161,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,32,hidden_probe_oof,1.0,0.5171102507777386,0.5168257566011707,0.4797381377153699,0.5529411467245976,0.028978949401600555,-0.034896941465878475,0.09118037275837428,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.manifest.bootstrap_indices.npz
medqa,mistral,4,hidden_probe_oof,-1.0,0.5180242883886143,0.5178383694139106,0.48212751404022464,0.5529741475863614,0.030896791950488358,-0.030955879815091077,0.09175340062561077,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.manifest.bootstrap_indices.npz
medqa,mistral,16,hidden_probe_oof,1.0,0.5748771980351686,0.574861364181827,0.5388777220435528,0.6094223507576121,0.12966297240619415,0.06733781307907721,0.18952401357989423,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.manifest.bootstrap_indices.npz
medqa,mistral,24,hidden_probe_oof,1.0,0.5652690443047088,0.5652081193299093,0.5299675794812716,0.6004459071345143,0.1129431538484514,0.05190509328282387,0.17397646369276681,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.manifest.bootstrap_indices.npz
medqa,mistral,32,hidden_probe_oof,1.0,0.5365845853533656,0.5366386822189155,0.4998199971199539,0.573285272564361,0.06345970966211259,-0.00031177237126051683,0.12693312610060464,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_32\medqa_mistral_layer32.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_32\medqa_mistral_layer32.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_32\medqa_mistral_layer32.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,4,hidden_probe_oof,1.0,0.5605442455242966,0.5605518158567775,0.5237948849104859,0.5962789769820972,0.10369248612868041,0.04074775846865452,0.16487376034338108,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.manifest.bootstrap_indices.npz
pubmedqa,biomistral,16,hidden_probe_oof,1.0,0.6609145780051151,0.6612160736572891,0.6267293094629157,0.6954685421994884,0.2760758602119755,0.2170187351260236,0.33473177407700955,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.manifest.bootstrap_indices.npz
