task,model,layer,score,direction,auroc,N,pos_rate,results_file
medqa,biomistral,4,egh_probe_oof,1,0.5668652984938772,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.results.jsonl
medqa,biomistral,16,egh_probe_oof,1,0.5668652984938772,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.results.jsonl
medqa,biomistral,24,egh_probe_oof,1,0.5668652984938772,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.results.jsonl
medqa,biomistral,32,egh_probe_oof,1,0.5668652984938772,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.results.jsonl
medqa,biomistral,4,hidden_probe_oof,-1,0.5423741155624597,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.results.jsonl
medqa,biomistral,16,hidden_probe_oof,1,0.5152169779644081,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.results.jsonl
medqa,biomistral,24,hidden_probe_oof,1,0.5172113871459721,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.results.jsonl
medqa,biomistral,32,hidden_probe_oof,1,0.5171102507777386,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.results.jsonl
medqa,biomistral,4,lntp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.results.jsonl
medqa,biomistral,16,lntp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.results.jsonl
medqa,biomistral,24,lntp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.results.jsonl
medqa,biomistral,32,lntp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.results.jsonl
medqa,biomistral,4,mtp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_4\medqa_biomistral_layer4.B5000.results.jsonl
medqa,biomistral,16,mtp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_16\medqa_biomistral_layer16.B5000.results.jsonl
medqa,biomistral,24,mtp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_24\medqa_biomistral_layer24.B5000.results.jsonl
medqa,biomistral,32,mtp,1,0.5010194545917934,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_biomistral\layer_32\medqa_biomistral_layer32.B5000.results.jsonl
medqa,mistral,4,egh_probe_oof,1,0.5981375702011232,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_4\medqa_mistral_layer4.B5000.results.jsonl
medqa,mistral,16,egh_probe_oof,1,0.5981375702011232,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_16\medqa_mistral_layer16.B5000.results.jsonl
medqa,mistral,24,egh_probe_oof,1,0.5981375702011232,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\medqa_mistral\layer_24\medqa_mistral_layer24.B5000.results.jsonl
