task,model,score_key,settings,auroc_mean_over_settings,auroc_std_over_settings,spearman_mean_over_settings,spearman_std_over_settings
medqa,biomistral,egh_probe_oof,3,0.5586950916497769,0.0072715196626737914,0.10109037762670324,0.012523716158715514
medqa,biomistral,hidden_probe_oof,3,0.5056682821515885,0.007863813246864642,0.009762465119268803,0.013543821681346005
medqa,biomistral,lntp,3,0.5007611474527794,0.0,0.001311183002063725,0.0
medqa,biomistral,mtp,3,0.5007611474527794,0.0,0.001311183002063725,0.0
medqa,mistral,egh_probe_oof,3,0.5957861325781212,0.013711521109236331,0.16590553548175765,0.02374892007910091
medqa,mistral,hidden_probe_oof,3,0.5771495498594644,0.01039728010282325,0.13362620445137105,0.01800851828511522
medqa,mistral,lntp,3,0.5048903198451175,0.0,0.00847078583861797,0.0
medqa,mistral,mtp,3,0.5082567961087378,0.0,0.014302035236154422,0.0
pubmedqa,biomistral,egh_probe_oof,3,0.6329378187894289,0.0044923444790262125,0.22765051802921663,0.007692954160295144
pubmedqa,biomistral,hidden_probe_oof,3,0.6618511454390452,0.0007514905116164454,0.2771633943734649,0.00128689641883719
pubmedqa,biomistral,lntp,3,0.5988507756521739,0.0,0.16930456538605812,0.0
pubmedqa,biomistral,mtp,3,0.5988507756521739,0.0,0.16930456538605812,0.0
pubmedqa,mistral,egh_probe_oof,3,0.7139995207426887,0.007505858804360011,0.37053366326780396,0.01299616628044547
pubmedqa,mistral,hidden_probe_oof,3,0.6927226068822524,0.008879316114574815,0.3336933339136299,0.015374265861165352
pubmedqa,mistral,lntp,3,0.712699408800349,0.0,0.3683127307825346,0.0
pubmedqa,mistral,mtp,3,0.712699408800349,0.0,0.3683127307825346,0.0
