task,model,seed,score_key,direction,N,pos_rate,auroc,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi,spearman_rho_boot_mean,spearman_ci95_lo,spearman_ci95_hi,manifest_file,results_file,boot_file
medqa,biomistral,0,egh_probe_oof,1.0,1000,0.553,0.5572694798758855,0.557367401725791,0.5210172498189659,0.5914843177947416,0.098803701061185,0.0361979413898951,0.15756317935569278,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,42,egh_probe_oof,1.0,1000,0.553,0.5668652984938772,0.5665613367800608,0.5302982309226469,0.6020697557758979,0.11463838764109102,0.052182547296367954,0.17579440349773698,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,123,egh_probe_oof,1.0,1000,0.553,0.5571197980509,0.5568416633291665,0.5219936203178919,0.5910061450457338,0.09789822386226654,0.037879543311085354,0.15673962881562642,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,999,egh_probe_oof,1.0,1000,0.553,0.5568042525820115,0.5571409978518636,0.5211280952785498,0.5927544894433857,0.0984137666676217,0.03638886776367655,0.15975074452398705,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,2026,egh_probe_oof,1.0,1000,0.553,0.5578156162643462,0.5578786889490314,0.5228082737640124,0.594479875885449,0.09968428979316665,0.039282622450793205,0.1627224175634422,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,0,hidden_probe_oof,-1.0,1000,0.553,0.5137646597165755,0.5139185690417531,0.47795763195261964,0.5494080488367293,0.02397190902982891,-0.03796350159599844,0.08509533548128272,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,42,hidden_probe_oof,1.0,1000,0.553,0.5152169779644081,0.514711322823242,0.47903331836515084,0.5505557443434428,0.025337266625731818,-0.036110850523753256,0.08707200833195675,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,123,hidden_probe_oof,-1.0,1000,0.553,0.5063776593808027,0.5066562577116481,0.47005696000258906,0.5428101144459143,0.011464052365966166,-0.05157079875376651,0.07373172666496207,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,999,hidden_probe_oof,1.0,1000,0.553,0.5052247047829411,0.5052447435383975,0.4683277303785332,0.5410274848194311,0.009033005827047608,-0.054549061298457824,0.07066150018013624,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,2026,hidden_probe_oof,-1.0,1000,0.553,0.520779478217249,0.5205520508432749,0.4840891254131421,0.5559984991362954,0.0353967346027085,-0.027403250984292114,0.09644602620167937,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,0,lntp,1.0,1000,0.553,0.5010194545917934,0.5014896270495286,0.4655535597978891,0.5375704920486587,0.002566090902018007,-0.05933704212969093,0.06472062610996498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,42,lntp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,123,lntp,1.0,1000,0.553,0.5010194545917934,0.5015643631847437,0.4653409205836782,0.5375102147731916,0.0026948370354618915,-0.059706062653492674,0.06461635266766412,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,999,lntp,1.0,1000,0.553,0.5010194545917934,0.5011905518404796,0.4658158569689025,0.5365267647284894,0.002050884875838297,-0.05888616059831039,0.06292178481441674,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,2026,lntp,1.0,1000,0.553,0.5010194545917934,0.5009682945576498,0.46523295751058896,0.5371082988458317,0.001668012244194324,-0.059890957299432196,0.0639254139640061,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,0,mtp,1.0,1000,0.553,0.5010194545917934,0.5014896270495286,0.4655535597978891,0.5375704920486587,0.002566090902018007,-0.05933704212969093,0.06472062610996498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_0\medqa_biomistral_seed0.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,42,mtp,1.0,1000,0.553,0.5010194545917934,0.5007611474527794,0.4647801699900078,0.536776268148921,0.001311183002063725,-0.060670602761215636,0.06335182091293604,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_42\medqa_biomistral_seed42.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,123,mtp,1.0,1000,0.553,0.5010194545917934,0.5015643631847437,0.4653409205836782,0.5375102147731916,0.0026948370354618915,-0.059706062653492674,0.06461635266766412,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_123\medqa_biomistral_seed123.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,999,mtp,1.0,1000,0.553,0.5010194545917934,0.5011905518404796,0.4658158569689025,0.5365267647284894,0.002050884875838297,-0.05888616059831039,0.06292178481441674,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_999\medqa_biomistral_seed999.B5000.manifest.bootstrap_indices.npz
medqa,biomistral,2026,mtp,1.0,1000,0.553,0.5010194545917934,0.5009682945576498,0.46523295751058896,0.5371082988458317,0.001668012244194324,-0.059890957299432196,0.0639254139640061,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_biomistral\seed_2026\medqa_biomistral_seed2026.B5000.manifest.bootstrap_indices.npz
medqa,mistral,0,egh_probe_oof,1.0,1000,0.498,0.6181378902062433,0.6179352653642458,0.5830650290404646,0.6522848365573849,0.2042687481233463,0.143872078857793,0.26376365806582663,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_0\medqa_mistral_seed0.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_0\medqa_mistral_seed0.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_0\medqa_mistral_seed0.B5000.manifest.bootstrap_indices.npz
medqa,mistral,42,egh_probe_oof,1.0,1000,0.498,0.5981375702011232,0.5980336709387349,0.5622367957887326,0.6341342461479383,0.16979836507468085,0.1077967118163903,0.2323261016174188,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_42\medqa_mistral_seed42.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_42\medqa_mistral_seed42.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_42\medqa_mistral_seed42.B5000.manifest.bootstrap_indices.npz
medqa,mistral,123,egh_probe_oof,1.0,1000,0.498,0.6212699403190449,0.6217124521992352,0.5867334877358038,0.6556141898270372,0.21081099197121317,0.15022600464069455,0.2695303136873664,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_123\medqa_mistral_seed123.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_123\medqa_mistral_seed123.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_123\medqa_mistral_seed123.B5000.manifest.bootstrap_indices.npz
medqa,mistral,999,egh_probe_oof,1.0,1000,0.498,0.6101897630362085,0.6101741275860413,0.5746139938239012,0.6441830069281108,0.19082613594413214,0.12923450223487992,0.24973094052718234,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_999\medqa_mistral_seed999.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_999\medqa_mistral_seed999.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_999\medqa_mistral_seed999.B5000.manifest.bootstrap_indices.npz
medqa,mistral,2026,egh_probe_oof,1.0,1000,0.498,0.6096457543320692,0.6097586977391637,0.5737483799740795,0.6449584193347093,0.19010659552023196,0.12773521463829363,0.2510739979139088,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_2026\medqa_mistral_seed2026.B5000.manifest.json,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_2026\medqa_mistral_seed2026.B5000.results.jsonl,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\oof_seeds\medqa_mistral\seed_2026\medqa_mistral_seed2026.B5000.manifest.bootstrap_indices.npz
