task,model,score_key,seeds,auroc_mean_over_seeds,auroc_std_over_seeds,spearman_mean_over_seeds,spearman_std_over_seeds
medqa,biomistral,egh_probe_oof,5,0.5591580177271827,0.004155899050157394,0.10188767380506618,0.007157692260127977
medqa,biomistral,hidden_probe_oof,5,0.5122165887916632,0.006287373661329837,0.0210405936902566,0.010828724530861873
medqa,biomistral,lntp,5,0.5011947968170363,0.00034017540717454117,0.002058201611915249,0.0005860021916105081
medqa,biomistral,mtp,5,0.5011947968170363,0.00034017540717454117,0.002058201611915249,0.0005860021916105081
medqa,mistral,egh_probe_oof,5,0.6115228427654842,0.009108187263092106,0.1931621673267209,0.015775756445266634
medqa,mistral,hidden_probe_oof,5,0.5694072293956703,0.010570008294955692,0.12021618589323461,0.018307690554924195
medqa,mistral,lntp,5,0.505171632746124,0.0001721500603286111,0.008958066964994302,0.0002981932525616104
medqa,mistral,mtp,5,0.5084964357829725,0.00015111596206228344,0.014717132551452522,0.0002617593284596258
pubmedqa,biomistral,egh_probe_oof,5,0.6230338630383632,0.006896554917978352,0.21069040325134,0.01181006548652417
pubmedqa,biomistral,hidden_probe_oof,5,0.6598256124398978,0.006657526820356039,0.2736947528391117,0.011400739838655489
pubmedqa,biomistral,lntp,5,0.598689662117647,0.00020809441041641128,0.16902866314005177,0.0003563777115859221
pubmedqa,biomistral,mtp,5,0.598689662117647,0.00020809441041641128,0.16902866314005177,0.0003563777115859221
pubmedqa,mistral,egh_probe_oof,5,0.7012216499953968,0.012815611235129466,0.348409168806063,0.02218984126936129
pubmedqa,mistral,hidden_probe_oof,5,0.6848679014213609,0.0071810147142364385,0.32009315041872966,0.012433708151600387
pubmedqa,mistral,lntp,5,0.7129067414372116,0.00015409777138578767,0.3686717260442073,0.0002668174398958001
pubmedqa,mistral,mtp,5,0.7129067414372116,0.00015409777138578767,0.3686717260442073,0.0002668174398958001
