task,model,score,spearman_rho,N,pos_rate,manifest_file,spearman_rho_boot_mean,ci95_lo,ci95_hi
medqa,biomistral,egh_probe_oof,0.11516167025570136,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,0.11463838764109102,0.052182547296367954,0.17579440349773698
medqa,biomistral,hidden_probe_oof,0.026208102529982798,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,0.025337266625731818,-0.036110850523753256,0.08707200833195675
medqa,biomistral,lntp,0.0017561066377132881,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,0.001311183002063725,-0.060670602761215636,0.06335182091293604
medqa,biomistral,mtp,0.0017561066377132881,1000,0.553,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_biomistral.B5000.manifest.json,0.001311183002063725,-0.060670602761215636,0.06335182091293604
medqa,mistral,egh_probe_oof,0.16997798337914885,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,0.16979836507468085,0.1077967118163903,0.2323261016174188
medqa,mistral,hidden_probe_oof,0.12969013863735324,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,0.12966297240619415,0.06733781307907721,0.18952401357989423
medqa,mistral,lntp,0.008747393169807074,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,0.00847078583861797,-0.053203763069960136,0.07058402467167355
medqa,mistral,mtp,0.01453972660769552,1000,0.498,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\medqa_mistral.B5000.manifest.json,0.014302035236154422,-0.04766366645930855,0.0769516604905425
pubmedqa,biomistral,egh_probe_oof,0.22079548144343092,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,0.22077822390579796,0.16167270901820313,0.2810098054505904
pubmedqa,biomistral,hidden_probe_oof,0.27555901152199425,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,0.2760758602119755,0.2170187351260236,0.33473177407700955
pubmedqa,biomistral,lntp,0.16897027294386757,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,0.16930456538605812,0.10926186347787527,0.23034903420772188
pubmedqa,biomistral,mtp,0.16897027294386757,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_biomistral.B5000.manifest.json,0.16930456538605812,0.10926186347787527,0.23034903420772188
pubmedqa,mistral,egh_probe_oof,0.37626300393671597,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,0.3757459995636343,0.3216868078032175,0.43056599726965067
pubmedqa,mistral,hidden_probe_oof,0.3225997582587061,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,0.32298018676266166,0.26529622643641354,0.3800018245723876
pubmedqa,mistral,lntp,0.3684947327477553,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,0.3683127307825346,0.3125693630297912,0.4227740245798434
pubmedqa,mistral,mtp,0.3684947327477553,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\final\pubmedqa_mistral.B5000.manifest.json,0.3683127307825346,0.3125693630297912,0.4227740245798434
